episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
484,mdp_policy,pac,3433.0,367,0,0,1,484
485,mdp_policy,pac,3246.0,354,0,0,1,485
486,mdp_policy,pac,3410.0,390,0,0,1,486
487,mdp_policy,pac,3230.0,370,1,0,1,487
488,mdp_policy,pac,3200.0,400,0,0,1,488
489,mdp_policy,pac,3847.0,353,0,0,1,489
490,mdp_policy,pac,3025.0,375,1,0,1,490
491,mdp_policy,pac,3042.0,358,1,0,1,491
492,mdp_policy,pac,3410.0,390,0,0,1,492
493,mdp_policy,pac,3191.0,409,0,0,1,493
494,mdp_policy,pac,3407.0,393,0,0,1,494
495,mdp_policy,pac,3250.0,350,0,0,1,495
496,mdp_policy,pac,3423.0,377,1,0,1,496
497,mdp_policy,pac,2839.0,361,2,0,1,497
498,mdp_policy,pac,3244.0,356,0,0,1,498
499,mdp_policy,pac,3238.0,362,0,0,1,499
500,mdp_policy,pac,3222.0,378,0,0,1,500
501,mdp_policy,pac,3666.0,334,0,0,1,501
502,mdp_policy,pac,3244.0,356,0,0,1,502
503,mdp_policy,pac,2834.0,366,2,0,1,503
504,mdp_policy,pac,3241.0,359,0,0,1,504
505,mdp_policy,pac,3428.0,372,0,0,1,505
506,mdp_policy,pac,3453.0,347,0,0,1,506
507,mdp_policy,pac,3011.0,389,2,0,1,507
508,mdp_policy,pac,2626.0,374,3,0,1,508
509,mdp_policy,pac,3630.0,370,0,0,1,509
510,mdp_policy,pac,2814.0,386,3,0,1,510
